pair_id,name_1,name_2,is_duplicate
162,JX Nippon Oil & Gas Exploration (Brasil) Ltda,JX Nippon Oil & Gas Exploration Technical Services Corporation,1
604,Pirelli Neumaticos S.A.I.C.,"Pirelli Tyre Co., Ltd.",1
836,Brenntag Australia (Pty) Ltd.,Brenntag Group,1
1329,"PAUL BAUDER GMBH & CO KG, BOCHUM PLANT",Paul Bauder ag,1
1563,TOTAL CESKA REPUBLIKA s.r.o.,TOTAL FRANCE (ARNAY LE DUC),1
1787,Pt Bridgestone Tire Indonesia,Bridgestone Do Brasil Industria E Comenrcio Ltda,1
1799,Brenntag Peru S.A.C.,Brenntag Group,1
1963,"Carlisle Coatings & Waterproofing, Inc.",Carlisle Coatings & Wtrprfng,1
2055,Pt Bridgestone Tire Indonesia,"Thai Bridgestone Co., Ltd.",1
2773,Onduline Polska Sp. z o.o.,Onduline S.A.,1
2791,Rhino Rugby Ltd.,Rhino Rugby France,1
2799,Bridgestone Americas Tire,Bridgestone International Group,1
2816,TOTAL BITUMEN*,TOTAL CZECH REPUBLIC,1
3100,Sumitomo Rubber Usa 10 Sheridan,Sumitomo Rubber Industriesusa,1
3170,"Basf Co., Ltd.",Basf Japan Ltd. 6 10 1 Roppongi,1
3277,JX Nippon Oil & Gas Exploration (Brasil) Ltda,"JX Nippon Oil & Gas Exploration (Sarawak), Ltd",1
3372,ООО Химинвест групп,"ХИМИНВЕСТ ГРУПП, ООО",1
3493,Bridgestone Neumaticos De Monterreysa De Cv,Bridgestone Ncr,1
3700,Zeon India Private Limited,ZEON Corporation (TSE:4205),1
3843,Dow Chemical,Dow Chemical Pacific,1
4000,Basf Bangladesh Ltd.,Basf Sa,1
4040,Zeon Trading （Shanghai）Co. Ltd.,Zeon Corporation,1
4061,"Bridgestone Golf (Shenzhen) Co., Ltd.","Bridgestone （Huizhou）Synthetic Rubber Co., Ltd.",1
4146,Toyo Trans Inc.,Toyo Tire North,1
4286,Bridgestone De Mexico S.A. De C.V.,Bridgestone Ncr,1
4402,"Arlanxeo Singapore Pte., Ltd. Tearlanxeo Canada Inc. 1265 Vidal","Arlanxeo Singapore Pte., Ltd.",1
4647,Coim S.p.A.,C.O.I.M. S.p.A.,1
5064,Pirelli Neumaticos Sa De,Pirelli Neumaticos Argentina Sa,1
5118,"ООО""ИМПОРТ МОДА""","ООО""ИМПОРТ МОДА""",1
5255,"Marks And Spencer Reliance India Pvt., Ltd.",Reliance Retail Ltd.,1
5285,"Thai Bridgestone Co., Ltd.",Bridgestone India,1
5310,Total Bitumen Deutschland GmbH,TOTAL POLSKA,1
5353,Savino Del Bene Usa Inc.,Savino Del Bene Poland Sp. Z O.O.,1
5391,Gestion Soprema Canada Inc.,SOPREMA S.R.L.,1
5451,SOUDAL NV,"ООО ""СОУДАЛ""",1
5873,Bdp International Basf Imp.,Basf Corp.,1
5984,Sika India Private Ltd.,Pt Sika Indonesia,1
6224,Sika S A.,Sika Sa,1
6227,Soprema S.A.,SOPREMA DRUMMONDVILLE,1
6405,Michelin North America Inc.,Michelin North America (Canada) Inc.,1
6453,Midland Asphalt Materials Inc,Midland Asphalt,1
6569,JX Nippon Oil & Gas Exploration (Myanmar) Limited,China Southern Petroleum Exploration and Development Corporation,1
6705,"Yokohama India Pvt., Ltd.",Yokohama Tire Mfg. Virgini,1
6762,Bridgestone Hosepower Llc,Bridgestone Firestone Do Brasil,1
6811,Michelin Espana Portugal Sa,Michelin Group,1
6945,Giti Tire Mfg. L.T.D.,Giti Tire Mfg. (Usa),1
7086,"Bridgestone (Tianjin) Tire Co., Ltd.",Bridgestone Stargard Sp Zoo,1
7134,Brenntag Chile Comercial E Industrial Ltda,Brenntag Peru S.A.C.,1
7250,Basf India,Basf Sa,1
7316,GOTER,Goter Thermoplastic Compounds Spa,1
7522,Owens Corning,Owens Corning Sales Llc,1
7583,Bridgestone India,"Bridgestone India Pvt., Ltd.",1
7769,Sika S A.,Sika India Private Ltd.,1
7802,Bridgestone Tire Co.,Bridgestone India,1
7928,Arlanxeo Singapore Pte.,Arlanxeo Corp.,1
8106,Gates USA,Gates Corporation,1
8957,Planika Flex D.O.O,K Flex Usa,1
8981,IKO,IKO SLOVAKIA,1
9305,Bridgestone Tire Co.,Shenyang Bridgestone,1
9384,POWER ADHESIVES,Power Adhesives Ltd,1
9626,Sika Sa,Sika Lanka (Pvt) Ltd.,1
9641,Kraton Polymers Nederland Bv,Kraton Polymers Japan Ltd.,1
9677,TOTAL BITUMEN*,Total Petrochemicals France SA,1
9764,"Bit-Mat Products of Indiana, Inc.","Bit Mat. Products Of Michigan, Inc.",1
9821,Bridgestone Firestone De Mexico Sa De Cv,"Bridgestone (Tianjin) Tire Co., Ltd.",1
10148,ALPHA TRADING,Alpha Trading S.p.a,1
10194,IKO EU /ALL PLANTS*,"IKO Slovakia, s.r.o.",1
10348,Pirelli De Venezuela C.A.,Pirelli Pneus Ltda,1
10457,"Shanghai Michelin Warrior Tyre Co., Ltd.","Michelin Siam Co., Ltd.",1
10505,Gestion Soprema Canada Inc.,SOPREMA SOURGES,1
10539,Synthomer Llc C Oterminal Warehouse,Synthomer Llc,1
10800,Basf Turk Kimya San. Ve Tic.Sti,Basf Corporation,1
10928,Versalis Americas Inc.,Versalis Sp A,1
10951,Soprema S.A.,SOPREMA SOURGES,1
11022,Brenntag Chile Comercial E Industrial Ltda,Brenntag Colombia S.A.,1
11654,ONUR TAAHHÜT ,Onur Taahhut Tasimacilik Insaat Ticaret ve Sanayi AS,1
11683,Ktn Underwood Arlanxeo Usa Llc,Arlanxeo,1
11705,Synthomer Ltd.,Synthomer Llc C Oterminal Warehouse,1
11807,Ineos Styrolution America Llc,Ineos Styrolution India Ltd.,1
11847,Basf Turk Kimya San.Ve Tic Ltd.Sti,Basf Turk Kimya San Ve Tic.Tld.Sti,1
11995,"Dow Chemical (Shanghai) Co., Ltd.",Dow Chemical Pacific Ltd.,1
12125,"Basf Finlay Pvt., Ltd.",Basf India Ltd.,1
12161,"ООО""ГУЧЧИ РУС""","ООО""ГУЧЧИ РУС""",1
12226,Fenner Dunlop Americas,Dunlop Slazenger International Inc.,1
12295,"Basf Finlay Pvt., Ltd.","Basf Co., Ltd.",1
12475,"Kraton Polymers Trading Shanghai Co., Ltd.",Kraton Polymers Japan Ltd.,1
12479,Basf Colors & Effects Usa Llc,Basf Chile S.A.,1
12749,"Pirelli Tyre Co., Ltd.",Pirelli Neumaticos Sa De,1
12926,"Bridgestone India Pvt., Ltd.","Bridgestone (China) Research And Development Co., Ltd.",1
12930,IKO EU /ALL PLANTS*,IKO SLOVAKIA,1
13416,Sika (China) Ltd.,Sika (Cambodia) Ltd. Warehouse,1
13493,Sumitomo Rubber Industriesusa,Sumitomo Rubber Inds,1
13520,Shenyang Bridgestone,Bridgestone Tire Co.,1
13786,Dow Chemical,Dow Chemical Pacific Ltd.,1
13938,Saint Gobain Performance Plastics,Saint Gobain Canada Inc.,1
14020,SOPREMA ALPIARCA,SOPREMA SALGAREDA,1
14255,Petro-Canada Oil Sands Inc.,Petro-Canada (International) Holdings BV,1
14516,Brenntag Colombia S.A.,Brenntag Chile Comercial E Industrial Ltda,1
14575,SOPREMA OBERROSSBACH,soprema Soprema sas,1
14646,NIS ( GPN SUBCIDIARY),Naftna Industrija Srbije a.d. (BELEX:NIIS),1
14652,SOPREMA ALPIARCA,Soprema Polska Sp Z O O,1
14663,Bridgestone India,Bridgestone Americas Tire,1
14692,Bridgestone Ncr,Pt Bridgestone Tire Indonesia,1
14851,TOTAL FRANCE (ARNAY LE DUC),Total Romania S.A.,1
14858,Lohmann GmbH & Co. KG,Lohmann GmbH & Co. KG,1
14902,Sumitomo Rubber North America Inc.,Sumitomo Rubber Industriesusa,1
15085,"Kenda Rubber (China) Co., Ltd.","Kenda Farben India Pvt., Ltd.",1
15105,"Thai Bridgestone Co., Ltd.",Bridgestone De Costa Rica S.A.,1
15241,GOTER S.R.L.,GOTER THERMOPLASTIC COMPOUNDS S.P.A,1
15363,Exxonmobil Chemical Americas Po Box 4549 Houston,Exxonmobil Quimica Ltda,1
15372,Pirelli Neumaticos Argentina Sa,Pirelli Neumaticos S.A.I.C.,1
15904,Petro-Canada Denmark GmbH,Petro-Canada Energy North Sea Limited,1
16221,"Bridgestone India Pvt., Ltd.",Bridgestone Canada Inc.,1
16436,Bridgestone India,Bridgestone Tire Co.,1
16608,Paul Bauder GmbH & Co. KG,Paul Bauder ag,1
16641,Bridgestone Ncr,"Bridgestone (China) Research And Development Co., Ltd.",1
16693,"Brenntag Vietnam Co., Ltd.",Brenntag Ingredients Inc.,1
16802,BOFER INSAAT ALUMINIUM SAN. VE TIC. LTD. STI,"ООО""БОФФЕР""",1
16819,Soprema Polska Sp Z O O,SOPREMA S.R.L.,1
16935,SOPREMA ALPIARCA,SOPREMA S.A.S.,1
17266,PAVIMENTAL,Pavimental S.p.A.,1
17346,Bridgestone India Automotive,"Bridgestone India Pvt., Ltd.",1
17494,Bridgestone De Costa Rica S.A.,Bridgestone Americas Tire,1
17654,Bridgestone Hosepower Llc,"Thai Bridgestone Co., Ltd.",1
17728,Sumitomo Warehouse (Usa.) Inc.,Sumitomo Rubber Inds,1
17762,"Michelin Siam Co., Ltd.","Michelin Research And Development Center (Shanghai) Co., Ltd.",1
17898,Bridgestone Do Brasil Industria E Comenrcio Ltda,Bridgestone Americas Tire,1
17976,Kraton Polymers Do Brasil Sa,Kraton Polymers Us Llc.,1
18046,Bridgestone India Automotive Products Private Ltd.,Pt Bridgestone Tire Indonesia,1
18056,JX Nippon Oil & Gas Exploration Corporation,JX Nippon Oil & Gas Exploration (Qatar) Limited,1
18076,A.P.I.,A.P.I. APPLICAZIONI PLASTICHE INDUSTRIALI S.P.A.,1
18231,Bridgestone Firestone Venezolana C,Bridgestone Firestone Venezolana,1
18567,Contitech Antriebssysteme Gmb H,Contitech Transportbandsysteme Gmb H,1
18571,"Beijing Oriental Yuhong Waterproof Technology Co., Ltd. (SZSE:002271) - 北京东方雨虹防水技术股份有限公司",Oriental Yuhong,1
18736,Bridgestone India Automotive,Bridgestone Stargard Sp Zoo,1
18774,"Bridgestone (Tianjin) Tire Co., Ltd.",Bridgestone De Costa Rica Sociedad Anoni,1
18896,"JX Nippon Oil & Gas Exploration (Sarawak), Ltd",JX Nippon Oil & Gas Exploration Technical Services Corporation,1
19122,Bridgestone India Automotive Products Private Ltd.,Bridgestone International Group,1
19252,ANKARA INSAAT,ANKARA INSAAT TICARET ve SANAYI LIMITED SIRKETI,1
19505,Bridgestone Firestone Venezolana,Bridgestone International Group,1
19576,OBO BETTERMANN PRODUKTION DEUTSCHLAND GMBH & CO.KG,"ООО""ОБО БЕТТЕРМАНН""",1
19644,Reliance Retail Ltd.,"Reliance Sibur Elastomers Pvt., Ltd.",1
19665,Dow International Mexicana S.A. De,Dow International Mexicana Sa De Cv,1
19928,Toyo Trans Inc.,"Zhuhai Toyo Ink Co., Ltd.",1
20042,Bridgestone Firestone De Argentina Saic,Bridgestone International Group,1
20207,JX Nippon Oil & Gas Exploration (Brasil) Ltda,JX Nippon Oil & Gas Exploration (Qatar) Limited,1
20372,"Kraton Polymers Trading Shanghai Co., Ltd.",Kraton Polymers Us. Llc,1
20545,Bridgestone De Mexico S.A. De C.V.,Bridgestone India Automotive Products Private Ltd.,1
20590,Basf Chile S A,"Basf (China) Co., Ltd. Shanghai",1
20657,Contitech Antriebssysteme Gmb H,Contitech Chile S.A.,1
20727,Brenntag Group,Brenntag Ecuador S.A.,1
20824,Pirelli Neumaticos S.A. De Cv,Pirelli Neumaticos Sa De,1
20971,Dow Chemical Pacific Ltd.,Dow Chemical,1
21068,"Thai Bridgestone Co., Ltd.","Bridgestone India Pvt., Ltd.",1
21153,"Soprema, S.A.",soprema Soprema sas,1
21317,Sika Corporation,Sika Ltd. (Vietnam),1
21325,Pirelli Neumaticos Sa De Cv Boulev,Pirelli Pneus Ltda,1
21380,Sika S A.,Sika Kimia Sdn. Bhd.,1
21389,Bridgestone Do Brasil Industria E Comenrcio Ltda,Bridgestone Firestone Do Brasil,1
21601,Bridgestone Stargard Sp Zoo,Bridgestone Ncr,1
21688,Synthomer Llc,Synthomer Llc C Oterminal,1
21771,iko sales,IKO EU /ALL PLANTS*,1
21800,Michelin India Tamilnadu Tyres Private Ltd.,Michelin India Private Ltd.,1
21947,Bridgestone Firestone Venezolana,Bridgestone Firestone Venezolana C,1
22217,Sika Corporation,Sika S.A. Chile,1
22320,Bridgestone India,"Bridgestone （Huizhou）Synthetic Rubber Co., Ltd.",1
22325,Bridgestone Firestone Venezolana C,Bridgestone India,1
22348,MOGAT,Mogat-Werke Adolf Böving Bitumen- und Dachpappen Fabrik GmbH,1
22417,Sika India Private Ltd.,Sika Kimia Sdn. Bhd.,1
22496,APPIA LIANTS OUEST ( ALO),APPIA LIANTS OUEST,1
22569,Michelin Na Asrc,Michelin Tyre Plc,1
22571,Bridgestone Tire Co.,"Bridgestone Golf (Shenzhen) Co., Ltd.",1
22584,"H & V Advanced Materials(India) Pvt., Ltd.","H & V Advanced Materials India Pvt., Ltd.",1
22661,Bridgestone Neumaticos De Monterreysa De Cv,"Bridgestone(Shenyang) Tire Co., Ltd.",1
22789,Trinseo Europe Gmb H Trade Register 20162359,Trinseo Europe Gmb H Trade Register 20162359 Tax Id Be0806160466,1
22931,Bridgestone Neumaticos De,Bridgestone Ncr,1
23249,TUERMERLEIM,TÜRMERLEIM GmbH,1
23313,Bridgestone Firestone De Argentina Saic,Bridgestone Canada Inc.,1
23465,Del Corona & Scardigli Usa,Del Corona & Scardigli Mexico,1
23610,Paul Bauder GmbH & Co. KG,"PAUL BAUDER GMBH & CO.KG, ACHIM PLANT",1
23616,Basf Corporation,Basf Colors & Effects Usa Llc,1
23725,Contitech Usa Inc.,Contitech Antriebssysteme Gmb H,1
23906,Pirelli Pneus Ltda,Pirelli Neumaticos S.A.I.C.,1
24008,Bridgestone International Group,"Bridgestone (China) Research And Development Co., Ltd.",1
24406,Kraton Polymers Us,Kraton Polymers Do Brasil Sa,1
24445,K Flex Usa,K Flex India Private Ltd.,1
24519,ФИЛИАЛ КОМПАНИИ ЭКСОН НЕФТЕГАЗ ЛИМИТЕД,"ФИЛИАЛ КОМПАНИИ""ЭКСОН НЕФТЕГАЗ ЛИМИТЕД""",1
24690,Owens Corning,Owens Corning Glass Metal Services,1
24723,DORKEN GMBH. & CO. KG,"ООО""ДЁРКЕН""",1
24754,Bharat Polymers,Bharat Electronics Ltd.,1
24831,Bridgestone India Automotive,Bridgestone Canada Inc.,1
25074,Total Bitumen GmbH,TOTAL Polska Sp. z o.o.,1
25176,Polyglass America (MAPEI),ПОЛИГЛАС,1
25282,Michelin Group,Michelin Americas Research,1
25351,Sumitomo Rubber North America Inc.,Sumitomo Rubber Do Brasil Ltda,1
25503,"Bridgestone (Huizhou) Tire Co., Ltd.","Bridgestone India Pvt., Ltd.",1
25685,JOSS,Joss Elastomers & Chemicals B.V.,1
25742,"Basf Co., Ltd.",Basf Chile S A,1
25950,"ООО""ПРИВАТ ТРЭЙД""","ООО""ПРИВАТ ТРЭЙД""",1
25991,Soprema S.A.,"Soprema, S.A.",1
26200,TOTAL CESKA REPUBLIKA s.r.o.,TOTAL RUMUNIA,1
26565,"Basf Co., Ltd.",Basf Chile S.A.,1
26670,Afton Chemical De Mexicosa De Cv,"Afton Chemical Hyderabad Pvt., Ltd.",1
26686,Reliance Brands,Ryohin Keikaku Reliance India Private Ltd.,1
26731,Basf Corporation,Basf Chile S A,1
26785,Soprema Iberia,SOPREMA GROBBENDONK,1
26976,Basf Pakistan (Private) Ltd.,Basf Pakistan Ltd.,1
27057,Michelin India Private Ltd.,Michelin India Technology Center,1
27311,Soprema S.A.,Soprema NV,1
27536,Bridgestone Americas Tire,Bridgestone De Mexico S.A. De C.V.,1
27758,Basf Sa,Basf Quimica Colombiana S.A.,1
27921,Dow Chemical,Dow Quimica Mexicana Sa Cv,1
